Game_ID,Team_ID,Pace,eFG_Pct,TOV_Pct,ORB_Pct,FT_per_FGA,ORtg
201904010IND,DET,94.2,0.5,13.5,31.4,0.159,108.3
201904010IND,IND,94.2,0.61,16.4,21.9,0.221,117.8
201904010BOS,MIA,98.9,0.511,13.5,20.5,0.17,106.2
201904010BOS,BOS,98.9,0.489,11.3,26.4,0.231,111.3
201904010BRK,MIL,113.0,0.559,12.3,13.3,0.277,115.9
201904010BRK,BRK,113.0,0.5,17.4,32.0,0.287,107.0
201904010NYK,CHI,95.8,0.468,6.3,24.0,0.181,109.6
201904010NYK,NYK,95.8,0.622,16.7,15.8,0.284,118.0
201904010TOR,ORL,99.4,0.527,11.5,25.0,0.118,109.6
201904010TOR,TOR,99.4,0.613,13.0,14.6,0.214,121.7
201904010MIN,POR,99.9,0.632,12.1,35.7,0.187,132.1
201904010MIN,MIN,99.9,0.547,7.9,22.2,0.177,122.1
201904010DAL,PHI,105.6,0.419,10.1,21.4,0.258,96.6
201904010DAL,DAL,105.6,0.536,7.6,18.9,0.186,115.5
201904010UTA,CHO,101.6,0.439,9.7,19.2,0.256,100.4
201904010UTA,UTA,101.6,0.576,16.6,12.8,0.253,109.2
201904010PHO,CLE,98.7,0.495,7.6,34.0,0.152,114.5
201904010PHO,PHO,98.7,0.625,13.1,14.3,0.202,123.6
201904020OKC,LAL,104.3,0.571,20.6,10.8,0.083,98.7
201904020OKC,OKC,104.3,0.525,9.8,32.7,0.118,114.1
201904020SAS,ATL,101.4,0.521,9.7,21.2,0.138,109.5
201904020SAS,SAS,101.4,0.613,15.9,11.1,0.238,115.4
201904020SAC,HOU,97.2,0.628,6.5,18.6,0.128,133.7
201904020SAC,SAC,97.2,0.479,9.6,31.4,0.147,108.0
201904020GSW,DEN,107.1,0.411,12.8,22.2,0.24,95.2
201904020GSW,GSW,107.1,0.614,20.1,31.7,0.033,108.3
201904030DET,IND,98.5,0.5,9.8,22.2,0.174,109.7
201904030DET,DET,98.5,0.456,18.1,24.4,0.2,90.4
201904030ORL,NYK,97.6,0.482,11.3,18.2,0.212,102.4
201904030ORL,ORL,97.6,0.51,11.5,38.0,0.131,116.7
201904030WAS,CHI,107.8,0.561,17.0,23.1,0.156,106.7
201904030WAS,WAS,107.8,0.49,10.0,18.4,0.196,105.7
201904030ATL,PHI,101.5,0.51,10.2,44.1,0.224,120.2
201904030ATL,ATL,101.5,0.587,9.5,26.2,0.239,128.0
201904030BRK,TOR,100.0,0.49,5.9,27.9,0.114,115.0
201904030BRK,BRK,100.0,0.535,14.4,20.5,0.151,105.0
201904030MIA,BOS,98.3,0.531,11.4,16.2,0.338,113.9
201904030MIA,MIA,98.3,0.474,12.6,30.8,0.126,103.7
201904030NOP,CHO,102.6,0.489,9.6,21.2,0.3,112.1
201904030NOP,NOP,102.6,0.559,17.0,15.9,0.165,106.3
201904030DAL,MIN,99.2,0.547,9.5,11.9,0.186,110.9
201904030DAL,DAL,99.2,0.495,11.3,26.7,0.16,108.8
201904030DEN,SAS,93.6,0.414,10.7,22.0,0.222,90.8
201904030DEN,DEN,93.6,0.609,14.0,22.9,0.08,120.7
201904030PHO,UTA,95.9,0.675,19.1,24.1,0.182,123.0
201904030PHO,PHO,95.9,0.489,9.4,19.1,0.088,101.1
201904030POR,MEM,96.9,0.456,12.8,9.1,0.2,91.8
201904030POR,POR,96.9,0.564,12.2,33.3,0.106,119.7
201904030LAC,HOU,103.4,0.636,13.7,29.3,0.261,130.6
201904030LAC,LAC,103.4,0.512,16.6,20.0,0.232,99.6
201904040PHI,MIL,111.2,0.516,8.9,17.0,0.344,115.1
201904040PHI,PHI,111.2,0.568,11.2,8.7,0.147,109.7
201904040SAC,CLE,97.7,0.611,20.6,26.3,0.062,106.4
201904040SAC,SAC,97.7,0.567,6.5,16.7,0.072,119.7
201904040LAL,GSW,105.5,0.531,13.0,17.0,0.041,102.3
201904040LAL,LAL,105.5,0.394,14.0,30.0,0.077,85.3
201904050CHO,TOR,97.0,0.594,13.6,13.5,0.2,114.5
201904050CHO,CHO,97.0,0.537,6.5,17.4,0.128,116.5
201904050ORL,ATL,110.9,0.489,11.5,18.2,0.223,101.9
201904050ORL,ORL,110.9,0.707,15.6,24.3,0.207,134.4
201904050WAS,SAS,94.8,0.615,8.3,32.4,0.187,136.1
201904050WAS,WAS,94.8,0.528,9.3,23.1,0.216,118.2
201904050HOU,NYK,104.7,0.488,14.6,10.9,0.195,91.7
201904050HOU,HOU,104.7,0.535,5.2,12.7,0.119,114.6
201904050IND,BOS,100.5,0.56,10.0,16.7,0.152,116.4
201904050IND,IND,100.5,0.467,9.9,19.2,0.12,96.5
201904050MIN,MIA,101.3,0.568,15.4,20.9,0.102,107.6
201904050MIN,MIN,101.3,0.547,16.6,23.7,0.198,109.5
201904050OKC,DET,102.6,0.525,12.9,9.5,0.309,107.2
201904050OKC,OKC,102.6,0.535,13.3,42.9,0.149,119.9
201904050DAL,MEM,98.8,0.563,8.8,27.9,0.146,123.4
201904050DAL,DAL,98.8,0.516,7.9,22.4,0.135,113.3
201904050UTA,SAC,105.0,0.44,14.9,23.5,0.185,93.3
201904050UTA,UTA,105.0,0.606,14.3,16.7,0.188,113.3
201904050PHO,NOP,97.1,0.525,11.7,31.3,0.198,117.6
201904050PHO,PHO,97.1,0.558,5.8,25.5,0.163,124.1
201904050DEN,POR,93.5,0.547,13.7,30.8,0.186,117.7
201904050DEN,DEN,93.5,0.554,9.4,30.0,0.31,127.3
201904050GSW,CLE,98.5,0.479,6.1,26.1,0.216,115.8
201904050GSW,GSW,98.5,0.644,12.6,10.0,0.092,121.9
201904050LAC,LAL,107.0,0.521,11.5,26.9,0.229,114.0
201904050LAC,LAC,107.0,0.495,11.1,14.6,0.297,109.4
201904060MIL,BRK,103.5,0.593,8.5,24.5,0.186,128.5
201904060MIL,MIL,103.5,0.648,12.6,16.2,0.159,123.7
201904060CHI,PHI,96.5,0.574,9.1,24.4,0.17,120.2
201904060CHI,CHI,96.5,0.472,7.7,13.7,0.135,99.5
201904070TOR,MIA,95.2,0.475,10.0,21.8,0.14,103.7
201904070TOR,TOR,95.2,0.54,10.0,8.5,0.264,111.3
201904070CLE,SAS,96.6,0.579,16.4,30.6,0.207,116.0
201904070CLE,CLE,96.6,0.443,16.5,20.8,0.253,93.2
201904070MIN,OKC,101.5,0.598,11.9,35.0,0.239,130.1
201904070MIN,MIN,101.5,0.6,11.7,15.8,0.282,124.2
201904070DET,CHO,90.5,0.489,6.7,17.8,0.205,114.9
201904070DET,DET,90.5,0.424,8.4,33.3,0.141,100.6
201904070IND,BRK,94.2,0.517,14.1,37.8,0.193,114.7
201904070IND,IND,94.2,0.541,12.9,12.5,0.047,102.0
201904070MEM,DAL,96.6,0.52,5.8,20.4,0.276,121.0
201904070MEM,MEM,96.6,0.526,7.5,20.0,0.245,119.1
201904070HOU,PHO,104.9,0.522,11.3,16.7,0.172,107.7
201904070HOU,HOU,104.9,0.665,7.6,26.1,0.16,142.1
201904070MIL,ATL,107.7,0.485,9.2,15.3,0.1,99.3
201904070MIL,MIL,107.7,0.489,11.7,22.0,0.286,106.8
201904070BOS,ORL,101.4,0.522,13.8,25.0,0.244,114.4
201904070BOS,BOS,101.4,0.539,12.8,15.0,0.135,106.5
201904070NYK,WAS,95.0,0.466,7.5,36.8,0.136,115.8
201904070NYK,NYK,95.0,0.619,14.5,19.4,0.175,118.9
201904070GSW,LAC,103.4,0.544,17.9,14.0,0.228,100.6
201904070GSW,GSW,103.4,0.608,9.6,25.0,0.134,126.7
201904070POR,DEN,99.6,0.511,9.6,22.6,0.116,108.4
201904070POR,POR,99.6,0.511,13.6,36.2,0.27,115.5
201904070SAC,NOP,104.8,0.609,13.1,31.1,0.099,126.9
