Game_ID,Team_ID,Q1,Q2,Q3,Q4,Final_PTS
201904010IND,DET,33,22,25,22,102
201904010IND,IND,23,36,28,24,111
201904010BOS,MIA,17,30,30,28,105
201904010BOS,BOS,36,25,27,22,110
201904010BRK,MIL,35,24,32,40,131
201904010BRK,BRK,20,34,35,32,121
201904010NYK,CHI,19,28,30,28,105
201904010NYK,NYK,37,27,27,22,113
201904010TOR,ORL,36,16,23,34,109
201904010TOR,TOR,29,33,33,26,121
201904010MIN,POR,38,37,22,35,132
201904010MIN,MIN,23,41,36,22,122
201904010DAL,PHI,32,18,27,25,102
201904010DAL,DAL,27,41,29,25,122
201904010UTA,CHO,23,16,25,38,102
201904010UTA,UTA,26,26,27,32,111
201904010PHO,CLE,23,29,32,29,113
201904010PHO,PHO,31,40,20,31,122
201904020OKC,LAL,28,27,23,25,103
201904020OKC,OKC,34,25,35,25,119
201904020SAS,ATL,31,25,34,21,111
201904020SAS,SAS,33,25,28,31,117
201904020SAC,HOU,33,29,29,39,130
201904020SAC,SAC,23,23,31,28,105
201904020GSW,DEN,24,19,21,38,102
201904020GSW,GSW,30,29,27,30,116
201904030DET,IND,18,26,34,30,108
201904030DET,DET,15,21,26,27,89
201904030ORL,NYK,26,19,29,26,100
201904030ORL,ORL,26,32,27,29,114
201904030WAS,CHI,26,30,27,32,115
201904030WAS,WAS,28,29,30,27,114
201904030ATL,PHI,38,30,26,28,122
201904030ATL,ATL,42,30,26,32,130
201904030BRK,TOR,34,23,33,25,115
201904030BRK,BRK,22,28,28,27,105
201904030MIA,BOS,29,24,30,29,112
201904030MIA,MIA,31,18,32,21,102
201904030NOP,CHO,24,35,24,32,115
201904030NOP,NOP,21,34,23,31,109
201904030DAL,MIN,32,26,31,21,110
201904030DAL,DAL,27,31,21,29,108
201904030DEN,SAS,24,19,21,21,85
201904030DEN,DEN,28,33,25,27,113
201904030PHO,UTA,25,31,28,34,118
201904030PHO,PHO,31,22,23,21,97
201904030POR,MEM,30,29,10,20,89
201904030POR,POR,28,34,24,30,116
201904030LAC,HOU,39,29,34,33,135
201904030LAC,LAC,26,27,20,30,103
201904040PHI,MIL,30,26,26,46,128
201904040PHI,PHI,26,32,28,36,122
201904040SAC,CLE,22,29,33,20,104
201904040SAC,SAC,29,28,36,24,117
201904040LAL,GSW,39,21,34,14,108
201904040LAL,LAL,12,30,24,24,90
201904050CHO,TOR,34,31,21,25,111
201904050CHO,CHO,33,24,33,23,113
201904050ORL,ATL,18,30,32,33,113
201904050ORL,ORL,42,39,32,36,149
201904050WAS,SAS,37,40,28,24,129
201904050WAS,WAS,32,26,30,24,112
201904050HOU,NYK,16,27,21,32,96
201904050HOU,HOU,32,40,31,17,120
201904050IND,BOS,24,34,33,26,117
201904050IND,IND,27,20,27,23,97
201904050MIN,MIA,35,34,22,18,109
201904050MIN,MIN,36,25,29,21,111
201904050OKC,DET,34,32,30,14,110
201904050OKC,OKC,30,35,32,26,123
201904050DAL,MEM,31,34,34,23,122
201904050DAL,DAL,30,23,31,28,112
201904050UTA,SAC,20,24,26,28,98
201904050UTA,UTA,35,35,26,23,119
201904050PHO,NOP,38,38,23,18,9
201904050PHO,PHO,31,34,31,21,16
201904050DEN,POR,29,21,37,23,110
201904050DEN,DEN,22,34,28,35,119
201904050GSW,CLE,26,23,35,30,114
201904050GSW,GSW,36,32,31,21,120
201904050LAC,LAL,35,26,23,38,122
201904050LAC,LAC,30,37,19,31,117
201904060MIL,BRK,34,32,42,25,133
201904060MIL,MIL,26,39,31,32,128
201904060CHI,PHI,24,33,29,30,116
201904060CHI,CHI,20,29,19,28,96
201904070TOR,MIA,26,31,22,24,6
201904070TOR,TOR,25,25,28,25,14
201904070CLE,SAS,24,38,17,33,112
201904070CLE,CLE,24,22,17,27,90
201904070MIN,OKC,38,24,33,37,132
201904070MIN,MIN,31,29,37,29,126
201904070DET,CHO,32,28,23,21,104
201904070DET,DET,27,15,33,16,91
201904070IND,BRK,31,21,30,26,108
201904070IND,IND,25,19,25,27,96
201904070MEM,DAL,24,28,31,29,17
201904070MEM,MEM,26,30,32,24,15
201904070HOU,PHO,24,23,30,36,113
201904070HOU,HOU,34,43,40,32,149
201904070MIL,ATL,21,24,27,35,107
201904070MIL,MIL,28,26,31,30,115
201904070BOS,ORL,27,21,35,33,116
201904070BOS,BOS,27,25,26,30,108
201904070NYK,WAS,23,33,33,21,110
201904070NYK,NYK,29,23,27,34,113
201904070GSW,LAC,28,27,18,31,104
201904070GSW,GSW,32,30,42,27,131
201904070POR,DEN,25,24,32,27,108
201904070POR,POR,29,31,26,29,115
201904070SAC,NOP,32,34,36,31,133
201904070SAC,SAC,39,29,34,27,129
201904070LAL,UTA,27,32,24,26,109
201904070LAL,LAL,34,20,27,32,113
201904090CLE,CHO,33,31,26,34,124
201904090CLE,CLE,31,25,19,22,97
201904090DET,MEM,32,25,22,14,93
201904090DET,DET,20,18,26,36,100
201904090WAS,BOS,25,38,26,27,116
201904090WAS,WAS,39,25,31,15,110
201904090MIA,PHI,20,22,18,39,99
201904090MIA,MIA,34,27,30,31,122
201904090CHI,NYK,39,18,17,22,96
201904090CHI,CHI,24,26,18,18,86
201904090MIN,TOR,26,43,29,22,120
201904090MIN,MIN,28,19,31,22,100
201904090NOP,GSW,18,38,32,24,112
201904090NOP,NOP,19,37,23,24,103
201904090DAL,PHO,18,20,41,30,109
201904090DAL,DAL,33,35,30,22,120
201904090UTA,DEN,21,38,27,22,108
201904090UTA,UTA,27,33,31,27,118
201904090OKC,HOU,32,28,33,18,111
201904090OKC,OKC,26,25,29,32,112
201904090LAL,POR,26,27,20,31,104
201904090LAL,LAL,25,23,26,27,101
201904100ATL,IND,35,38,36,26,135
201904100ATL,ATL,28,41,34,31,134
201904100BRK,MIA,23,24,24,23,94
201904100BRK,BRK,32,31,29,21,113
201904100CHO,ORL,30,32,35,25,122
201904100CHO,CHO,25,33,30,26,114
201904100MEM,GSW,41,27,22,27,117
201904100MEM,MEM,45,41,28,18,132
201904100MIL,OKC,29,39,30,29,127
201904100MIL,MIL,31,27,31,27,116
201904100NYK,DET,36,29,27,23,115
201904100NYK,NYK,22,19,18,30,89
201904100PHI,CHI,20,22,22,45,109
201904100PHI,PHI,32,30,35,28,125
201904100SAS,DAL,16,21,28,29,94
201904100SAS,SAS,30,27,23,25,105
201904100DEN,MIN,21,29,29,16,95
201904100DEN,DEN,22,29,22,26,99
201904100LAC,UTA,26,40,31,29,11
201904100LAC,LAC,39,31,32,24,17
201904100POR,SAC,39,48,26,18,131
201904100POR,POR,30,32,36,38,136
201904130PHI,BRK,31,31,31,18,111
201904130PHI,PHI,22,32,28,20,102
201904130TOR,ORL,25,32,18,29,104
201904130TOR,TOR,30,19,27,25,101
201904130GSW,LAC,27,29,23,25,104
201904130GSW,GSW,36,33,29,23,121
201904130DEN,SAS,25,34,13,29,101
201904130DEN,DEN,20,31,17,28,96
201904140BOS,IND,20,25,8,21,74
201904140BOS,BOS,20,18,26,20,84
201904140POR,OKC,25,23,21,30,99
201904140POR,POR,39,15,22,28,104
201904140MIL,DET,18,25,18,25,86
201904140MIL,MIL,38,32,27,24,121
201904140HOU,UTA,24,20,27,19,90
201904140HOU,HOU,31,28,24,39,122
201904150PHI,BRK,28,36,23,36,123
201904150PHI,PHI,34,31,51,29,145
