Game_ID,Season_End_Year
201904010IND,2019
201904010BOS,2019
201904010BRK,2019
201904010NYK,2019
201904010TOR,2019
201904010MIN,2019
201904010DAL,2019
201904010UTA,2019
201904010PHO,2019
201904020OKC,2019
201904020SAS,2019
201904020SAC,2019
201904020GSW,2019
201904030DET,2019
201904030ORL,2019
201904030WAS,2019
201904030ATL,2019
201904030BRK,2019
201904030MIA,2019
201904030NOP,2019
201904030DAL,2019
201904030DEN,2019
201904030PHO,2019
201904030POR,2019
201904030LAC,2019
201904040PHI,2019
201904040SAC,2019
201904040LAL,2019
201904050CHO,2019
201904050ORL,2019
201904050WAS,2019
201904050HOU,2019
201904050IND,2019
201904050MIN,2019
201904050OKC,2019
201904050DAL,2019
201904050UTA,2019
201904050PHO,2019
201904050DEN,2019
201904050GSW,2019
201904050LAC,2019
201904060MIL,2019
201904060CHI,2019
201904070TOR,2019
201904070CLE,2019
201904070MIN,2019
201904070DET,2019
201904070IND,2019
201904070MEM,2019
201904070HOU,2019
201904070MIL,2019
201904070BOS,2019
201904070NYK,2019
201904070GSW,2019
201904070POR,2019
201904070SAC,2019
201904070LAL,2019
201904090CLE,2019
201904090DET,2019
201904090WAS,2019
201904090MIA,2019
201904090CHI,2019
201904090MIN,2019
201904090NOP,2019
201904090DAL,2019
201904090UTA,2019
201904090OKC,2019
201904090LAL,2019
201904100ATL,2019
201904100BRK,2019
201904100CHO,2019
201904100MEM,2019
201904100MIL,2019
201904100NYK,2019
201904100PHI,2019
201904100SAS,2019
201904100DEN,2019
201904100LAC,2019
201904100POR,2019
201904130PHI,2019
201904130TOR,2019
201904130GSW,2019
201904130DEN,2019
201904140BOS,2019
201904140POR,2019
201904140MIL,2019
201904140HOU,2019
201904150PHI,2019
201904150GSW,2019
201904160TOR,2019
201904160DEN,2019
201904160POR,2019
201904170BOS,2019
201904170MIL,2019
201904170HOU,2019
201904180BRK,2019
201904180SAS,2019
201904180LAC,2019
201904190ORL,2019
201904190IND,2019
201904190OKC,2019
201904200BRK,2019
201904200SAS,2019
201904200DET,2019
201904200UTA,2019
201904210IND,2019
201904210LAC,2019
201904210ORL,2019
201904210OKC,2019
201904220DET,2019
201904220UTA,2019
201904230TOR,2019
201904230PHI,2019
201904230DEN,2019
201904230POR,2019
201904240HOU,2019
201904240GSW,2019
201904250SAS,2019
201904260LAC,2019
201904270TOR,2019
201904270DEN,2019
201904280MIL,2019
201904280GSW,2019
201904290TOR,2019
201904290DEN,2019
201904300MIL,2019
201904300GSW,2019
201812010NYK,2019
201812010DET,2019
201812010WAS,2019
201812010CLE,2019
201812010HOU,2019
201812010MIN,2019
201812010SAC,2019
201812020LAL,2019
201812020CHO,2019
201812020MIA,2019
201812020PHI,2019
201812020DAL,2019
201812020SAS,2019
