Game_ID,Date,Start_Time_ET,Visitor_Team_Name,Visitor_Team_ID,Visitor_PTS,Home_Team_Name,Home_Team_ID,Home_PTS,Box_Score_Link,Arena,Attendance,Notes,Season_End_Year,Home_Win,Point_Differential,Game_Duration
201904010IND,2019-04-01,7:00p,Detroit Pistons,DET,102,Indiana Pacers,IND,111,/boxscores/201904010IND.html,Bankers Life Fieldhouse,15760.0,,2019,1,9,2:11
201904010BOS,2019-04-01,7:30p,Miami Heat,MIA,105,Boston Celtics,BOS,110,/boxscores/201904010BOS.html,TD Garden,18624.0,,2019,1,5,2:04
201904010BRK,2019-04-01,7:30p,Milwaukee Bucks,MIL,131,Brooklyn Nets,BRK,121,/boxscores/201904010BRK.html,Barclays Center,17732.0,,2019,0,-10,2:25
201904010NYK,2019-04-01,7:30p,Chicago Bulls,CHI,105,New York Knicks,NYK,113,/boxscores/201904010NYK.html,Madison Square Garden (IV),18874.0,,2019,1,8,2:11
201904010TOR,2019-04-01,7:30p,Orlando Magic,ORL,109,Toronto Raptors,TOR,121,/boxscores/201904010TOR.html,Scotiabank Arena,19800.0,,2019,1,12,2:05
201904010MIN,2019-04-01,8:00p,Portland Trail Blazers,POR,132,Minnesota Timberwolves,MIN,122,/boxscores/201904010MIN.html,Target Center,11209.0,,2019,0,-10,2:00
201904010DAL,2019-04-01,8:30p,Philadelphia 76ers,PHI,102,Dallas Mavericks,DAL,122,/boxscores/201904010DAL.html,American Airlines Center,19645.0,,2019,1,20,2:08
201904010UTA,2019-04-01,9:00p,Charlotte Hornets,CHO,102,Utah Jazz,UTA,111,/boxscores/201904010UTA.html,Vivint Smart Home Arena,18306.0,,2019,1,9,2:15
201904010PHO,2019-04-01,10:00p,Cleveland Cavaliers,CLE,113,Phoenix Suns,PHO,122,/boxscores/201904010PHO.html,Talking Stick Resort Arena,14050.0,,2019,1,9,2:08
201904020OKC,2019-04-02,8:00p,Los Angeles Lakers,LAL,103,Oklahoma City Thunder,OKC,119,/boxscores/201904020OKC.html,Chesapeake Energy Arena,18203.0,,2019,1,16,2:16
201904020SAS,2019-04-02,8:30p,Atlanta Hawks,ATL,111,San Antonio Spurs,SAS,117,/boxscores/201904020SAS.html,AT&T Center,18354.0,,2019,1,6,2:11
201904020SAC,2019-04-02,10:00p,Houston Rockets,HOU,130,Sacramento Kings,SAC,105,/boxscores/201904020SAC.html,Golden 1 Center,17583.0,,2019,0,-25,2:04
201904020GSW,2019-04-02,10:30p,Denver Nuggets,DEN,102,Golden State Warriors,GSW,116,/boxscores/201904020GSW.html,Oracle Arena,19596.0,,2019,1,14,2:13
201904030DET,2019-04-03,7:00p,Indiana Pacers,IND,108,Detroit Pistons,DET,89,/boxscores/201904030DET.html,Little Caesars Arena,18984.0,,2019,0,-19,2:13
201904030ORL,2019-04-03,7:00p,New York Knicks,NYK,100,Orlando Magic,ORL,114,/boxscores/201904030ORL.html,Amway Center,18846.0,,2019,1,14,2:05
201904030WAS,2019-04-03,7:00p,Chicago Bulls,CHI,115,Washington Wizards,WAS,114,/boxscores/201904030WAS.html,Capital One Arena,16616.0,,2019,0,-1,2:13
201904030ATL,2019-04-03,7:30p,Philadelphia 76ers,PHI,122,Atlanta Hawks,ATL,130,/boxscores/201904030ATL.html,State Farm Arena,16638.0,,2019,1,8,2:23
201904030BRK,2019-04-03,7:30p,Toronto Raptors,TOR,115,Brooklyn Nets,BRK,105,/boxscores/201904030BRK.html,Barclays Center,17732.0,,2019,0,-10,2:06
201904030MIA,2019-04-03,7:30p,Boston Celtics,BOS,112,Miami Heat,MIA,102,/boxscores/201904030MIA.html,AmericanAirlines Arena,19904.0,,2019,0,-10,2:18
201904030NOP,2019-04-03,8:00p,Charlotte Hornets,CHO,115,New Orleans Pelicans,NOP,109,/boxscores/201904030NOP.html,Smoothie King Center,16844.0,,2019,0,-6,2:11
201904030DAL,2019-04-03,8:30p,Minnesota Timberwolves,MIN,110,Dallas Mavericks,DAL,108,/boxscores/201904030DAL.html,American Airlines Center,19576.0,,2019,0,-2,2:07
201904030DEN,2019-04-03,9:00p,San Antonio Spurs,SAS,85,Denver Nuggets,DEN,113,/boxscores/201904030DEN.html,Pepsi Center,17643.0,,2019,1,28,2:02
201904030PHO,2019-04-03,10:00p,Utah Jazz,UTA,118,Phoenix Suns,PHO,97,/boxscores/201904030PHO.html,Talking Stick Resort Arena,15797.0,,2019,0,-21,2:08
201904030POR,2019-04-03,10:00p,Memphis Grizzlies,MEM,89,Portland Trail Blazers,POR,116,/boxscores/201904030POR.html,Moda Center,19608.0,,2019,1,27,1:54
201904030LAC,2019-04-03,10:30p,Houston Rockets,HOU,135,Los Angeles Clippers,LAC,103,/boxscores/201904030LAC.html,STAPLES Center,17593.0,,2019,0,-32,2:09
201904040PHI,2019-04-04,8:00p,Milwaukee Bucks,MIL,128,Philadelphia 76ers,PHI,122,/boxscores/201904040PHI.html,Wells Fargo Center,20701.0,,2019,0,-6,2:25
201904040SAC,2019-04-04,10:00p,Cleveland Cavaliers,CLE,104,Sacramento Kings,SAC,117,/boxscores/201904040SAC.html,Golden 1 Center,17583.0,,2019,1,13,1:55
201904040LAL,2019-04-04,10:30p,Golden State Warriors,GSW,108,Los Angeles Lakers,LAL,90,/boxscores/201904040LAL.html,STAPLES Center,18997.0,,2019,0,-18,2:01
201904050CHO,2019-04-05,7:00p,Toronto Raptors,TOR,111,Charlotte Hornets,CHO,113,/boxscores/201904050CHO.html,Spectrum Center,18684.0,,2019,1,2,2:10
201904050ORL,2019-04-05,7:00p,Atlanta Hawks,ATL,113,Orlando Magic,ORL,149,/boxscores/201904050ORL.html,Amway Center,18999.0,,2019,1,36,2:10
201904050WAS,2019-04-05,7:00p,San Antonio Spurs,SAS,129,Washington Wizards,WAS,112,/boxscores/201904050WAS.html,Capital One Arena,20409.0,,2019,0,-17,2:07
201904050HOU,2019-04-05,8:00p,New York Knicks,NYK,96,Houston Rockets,HOU,120,/boxscores/201904050HOU.html,Toyota Center,18055.0,,2019,1,24,2:01
201904050IND,2019-04-05,8:00p,Boston Celtics,BOS,117,Indiana Pacers,IND,97,/boxscores/201904050IND.html,Bankers Life Fieldhouse,17371.0,,2019,0,-20,2:08
201904050MIN,2019-04-05,8:00p,Miami Heat,MIA,109,Minnesota Timberwolves,MIN,111,/boxscores/201904050MIN.html,Target Center,17763.0,,2019,1,2,2:06
201904050OKC,2019-04-05,8:00p,Detroit Pistons,DET,110,Oklahoma City Thunder,OKC,123,/boxscores/201904050OKC.html,Chesapeake Energy Arena,18203.0,,2019,1,13,2:16
201904050DAL,2019-04-05,8:30p,Memphis Grizzlies,MEM,122,Dallas Mavericks,DAL,112,/boxscores/201904050DAL.html,American Airlines Center,20111.0,,2019,0,-10,1:56
201904050UTA,2019-04-05,9:00p,Sacramento Kings,SAC,98,Utah Jazz,UTA,119,/boxscores/201904050UTA.html,Vivint Smart Home Arena,18306.0,,2019,1,21,2:10
201904050PHO,2019-04-05,10:00p,New Orleans Pelicans,NOP,126,Phoenix Suns,PHO,133,/boxscores/201904050PHO.html,Talking Stick Resort Arena,16410.0,OT,2019,1,7,2:26
201904050DEN,2019-04-05,10:30p,Portland Trail Blazers,POR,110,Denver Nuggets,DEN,119,/boxscores/201904050DEN.html,Pepsi Center,19928.0,,2019,1,9,2:17
201904050GSW,2019-04-05,10:30p,Cleveland Cavaliers,CLE,114,Golden State Warriors,GSW,120,/boxscores/201904050GSW.html,Oracle Arena,19596.0,,2019,1,6,2:03
201904050LAC,2019-04-05,10:30p,Los Angeles Lakers,LAL,122,Los Angeles Clippers,LAC,117,/boxscores/201904050LAC.html,STAPLES Center,17910.0,,2019,0,-5,2:20
201904060MIL,2019-04-06,5:00p,Brooklyn Nets,BRK,133,Milwaukee Bucks,MIL,128,/boxscores/201904060MIL.html,Fiserv Forum,18116.0,,2019,0,-5,2:09
201904060CHI,2019-04-06,8:00p,Philadelphia 76ers,PHI,116,Chicago Bulls,CHI,96,/boxscores/201904060CHI.html,United Center,21059.0,,2019,0,-20,2:05
201904070TOR,2019-04-07,12:00p,Miami Heat,MIA,109,Toronto Raptors,TOR,117,/boxscores/201904070TOR.html,Scotiabank Arena,19800.0,OT,2019,1,8,2:22
201904070CLE,2019-04-07,3:00p,San Antonio Spurs,SAS,112,Cleveland Cavaliers,CLE,90,/boxscores/201904070CLE.html,Quicken Loans Arena,19432.0,,2019,0,-22,1:59
201904070MIN,2019-04-07,3:30p,Oklahoma City Thunder,OKC,132,Minnesota Timberwolves,MIN,126,/boxscores/201904070MIN.html,Target Center,18978.0,,2019,0,-6,2:28
201904070DET,2019-04-07,4:00p,Charlotte Hornets,CHO,104,Detroit Pistons,DET,91,/boxscores/201904070DET.html,Little Caesars Arena,19871.0,,2019,0,-13,2:07
201904070IND,2019-04-07,5:00p,Brooklyn Nets,BRK,108,Indiana Pacers,IND,96,/boxscores/201904070IND.html,Bankers Life Fieldhouse,16197.0,,2019,0,-12,1:58
201904070MEM,2019-04-07,6:00p,Dallas Mavericks,DAL,129,Memphis Grizzlies,MEM,127,/boxscores/201904070MEM.html,FedEx Forum,16744.0,OT,2019,0,-2,2:26
201904070HOU,2019-04-07,7:00p,Phoenix Suns,PHO,113,Houston Rockets,HOU,149,/boxscores/201904070HOU.html,Toyota Center,18055.0,,2019,1,36,1:56
201904070MIL,2019-04-07,7:00p,Atlanta Hawks,ATL,107,Milwaukee Bucks,MIL,115,/boxscores/201904070MIL.html,Fiserv Forum,17775.0,,2019,1,8,2:15
201904070BOS,2019-04-07,7:30p,Orlando Magic,ORL,116,Boston Celtics,BOS,108,/boxscores/201904070BOS.html,TD Garden,18624.0,,2019,0,-8,2:02
201904070NYK,2019-04-07,7:30p,Washington Wizards,WAS,110,New York Knicks,NYK,113,/boxscores/201904070NYK.html,Madison Square Garden (IV),19812.0,,2019,1,3,2:05
201904070GSW,2019-04-07,8:30p,Los Angeles Clippers,LAC,104,Golden State Warriors,GSW,131,/boxscores/201904070GSW.html,Oracle Arena,19596.0,,2019,1,27,2:13
201904070POR,2019-04-07,9:00p,Denver Nuggets,DEN,108,Portland Trail Blazers,POR,115,/boxscores/201904070POR.html,Moda Center,19890.0,,2019,1,7,2:12
201904070SAC,2019-04-07,9:00p,New Orleans Pelicans,NOP,133,Sacramento Kings,SAC,129,/boxscores/201904070SAC.html,Golden 1 Center,17583.0,,2019,0,-4,2:02
201904070LAL,2019-04-07,9:30p,Utah Jazz,UTA,109,Los Angeles Lakers,LAL,113,/boxscores/201904070LAL.html,STAPLES Center,18997.0,,2019,1,4,2:14
201904090CLE,2019-04-09,7:00p,Charlotte Hornets,CHO,124,Cleveland Cavaliers,CLE,97,/boxscores/201904090CLE.html,Quicken Loans Arena,19432.0,,2019,0,-27,1:58
201904090DET,2019-04-09,7:00p,Memphis Grizzlies,MEM,93,Detroit Pistons,DET,100,/boxscores/201904090DET.html,Little Caesars Arena,19802.0,,2019,1,7,2:12
201904090WAS,2019-04-09,7:00p,Boston Celtics,BOS,116,Washington Wizards,WAS,110,/boxscores/201904090WAS.html,Capital One Arena,20409.0,,2019,0,-6,2:08
201904090MIA,2019-04-09,7:30p,Philadelphia 76ers,PHI,99,Miami Heat,MIA,122,/boxscores/201904090MIA.html,AmericanAirlines Arena,20153.0,,2019,1,23,2:09
201904090CHI,2019-04-09,8:00p,New York Knicks,NYK,96,Chicago Bulls,CHI,86,/boxscores/201904090CHI.html,United Center,21350.0,,2019,0,-10,2:01
201904090MIN,2019-04-09,8:00p,Toronto Raptors,TOR,120,Minnesota Timberwolves,MIN,100,/boxscores/201904090MIN.html,Target Center,16119.0,,2019,0,-20,1:58
201904090NOP,2019-04-09,8:00p,Golden State Warriors,GSW,112,New Orleans Pelicans,NOP,103,/boxscores/201904090NOP.html,Smoothie King Center,17090.0,,2019,0,-9,1:56
201904090DAL,2019-04-09,8:30p,Phoenix Suns,PHO,109,Dallas Mavericks,DAL,120,/boxscores/201904090DAL.html,American Airlines Center,21041.0,,2019,1,11,2:13
201904090UTA,2019-04-09,9:00p,Denver Nuggets,DEN,108,Utah Jazz,UTA,118,/boxscores/201904090UTA.html,Vivint Smart Home Arena,18306.0,,2019,1,10,2:14
201904090OKC,2019-04-09,9:30p,Houston Rockets,HOU,111,Oklahoma City Thunder,OKC,112,/boxscores/201904090OKC.html,Chesapeake Energy Arena,18203.0,,2019,1,1,2:24
201904090LAL,2019-04-09,10:30p,Portland Trail Blazers,POR,104,Los Angeles Lakers,LAL,101,/boxscores/201904090LAL.html,STAPLES Center,18997.0,,2019,0,-3,2:07
201904100ATL,2019-04-10,8:00p,Indiana Pacers,IND,135,Atlanta Hawks,ATL,134,/boxscores/201904100ATL.html,State Farm Arena,17143.0,,2019,0,-1,2:30
201904100BRK,2019-04-10,8:00p,Miami Heat,MIA,94,Brooklyn Nets,BRK,113,/boxscores/201904100BRK.html,Barclays Center,17732.0,,2019,1,19,1:52
201904100CHO,2019-04-10,8:00p,Orlando Magic,ORL,122,Charlotte Hornets,CHO,114,/boxscores/201904100CHO.html,Spectrum Center,17719.0,,2019,0,-8,2:08
201904100MEM,2019-04-10,8:00p,Golden State Warriors,GSW,117,Memphis Grizzlies,MEM,132,/boxscores/201904100MEM.html,FedEx Forum,17794.0,,2019,1,15,1:56
201904100MIL,2019-04-10,8:00p,Oklahoma City Thunder,OKC,127,Milwaukee Bucks,MIL,116,/boxscores/201904100MIL.html,Fiserv Forum,18082.0,,2019,0,-11,1:59
201904100NYK,2019-04-10,8:00p,Detroit Pistons,DET,115,New York Knicks,NYK,89,/boxscores/201904100NYK.html,Madison Square Garden (IV),19812.0,,2019,0,-26,2:04
201904100PHI,2019-04-10,8:00p,Chicago Bulls,CHI,109,Philadelphia 76ers,PHI,125,/boxscores/201904100PHI.html,Wells Fargo Center,20197.0,,2019,1,16,1:56
201904100SAS,2019-04-10,8:00p,Dallas Mavericks,DAL,94,San Antonio Spurs,SAS,105,/boxscores/201904100SAS.html,AT&T Center,18629.0,,2019,1,11,2:02
201904100DEN,2019-04-10,10:30p,Minnesota Timberwolves,MIN,95,Denver Nuggets,DEN,99,/boxscores/201904100DEN.html,Pepsi Center,16332.0,,2019,1,4,2:02
201904100LAC,2019-04-10,10:30p,Utah Jazz,UTA,137,Los Angeles Clippers,LAC,143,/boxscores/201904100LAC.html,STAPLES Center,17655.0,OT,2019,1,6,2:33
201904100POR,2019-04-10,10:30p,Sacramento Kings,SAC,131,Portland Trail Blazers,POR,136,/boxscores/201904100POR.html,Moda Center,19814.0,,2019,1,5,2:03
201904130PHI,2019-04-13,2:30p,Brooklyn Nets,BRK,111,Philadelphia 76ers,PHI,102,/boxscores/201904130PHI.html,Wells Fargo Center,20437.0,,2019,0,-9,2:34
201904130TOR,2019-04-13,5:00p,Orlando Magic,ORL,104,Toronto Raptors,TOR,101,/boxscores/201904130TOR.html,Scotiabank Arena,19937.0,,2019,0,-3,2:14
201904130GSW,2019-04-13,8:00p,Los Angeles Clippers,LAC,104,Golden State Warriors,GSW,121,/boxscores/201904130GSW.html,Oracle Arena,19596.0,,2019,1,17,2:25
201904130DEN,2019-04-13,10:30p,San Antonio Spurs,SAS,101,Denver Nuggets,DEN,96,/boxscores/201904130DEN.html,Pepsi Center,19520.0,,2019,0,-5,2:17
201904140BOS,2019-04-14,1:00p,Indiana Pacers,IND,74,Boston Celtics,BOS,84,/boxscores/201904140BOS.html,TD Garden,18624.0,,2019,1,10,2:18
201904140POR,2019-04-14,3:30p,Oklahoma City Thunder,OKC,99,Portland Trail Blazers,POR,104,/boxscores/201904140POR.html,Moda Center,19886.0,,2019,1,5,2:26
201904140MIL,2019-04-14,7:00p,Detroit Pistons,DET,86,Milwaukee Bucks,MIL,121,/boxscores/201904140MIL.html,Fiserv Forum,17529.0,,2019,1,35,2:13
201904140HOU,2019-04-14,9:30p,Utah Jazz,UTA,90,Houston Rockets,HOU,122,/boxscores/201904140HOU.html,Toyota Center,18055.0,,2019,1,32,2:16
201904150PHI,2019-04-15,8:00p,Brooklyn Nets,BRK,123,Philadelphia 76ers,PHI,145,/boxscores/201904150PHI.html,Wells Fargo Center,20591.0,,2019,1,22,2:28
201904150GSW,2019-04-15,10:30p,Los Angeles Clippers,LAC,135,Golden State Warriors,GSW,131,/boxscores/201904150GSW.html,Oracle Arena,19596.0,,2019,0,-4,2:42
201904160TOR,2019-04-16,8:00p,Orlando Magic,ORL,82,Toronto Raptors,TOR,111,/boxscores/201904160TOR.html,Scotiabank Arena,19964.0,,2019,1,29,2:18
201904160DEN,2019-04-16,9:00p,San Antonio Spurs,SAS,105,Denver Nuggets,DEN,114,/boxscores/201904160DEN.html,Pepsi Center,19520.0,,2019,1,9,2:16
201904160POR,2019-04-16,10:30p,Oklahoma City Thunder,OKC,94,Portland Trail Blazers,POR,114,/boxscores/201904160POR.html,Moda Center,20041.0,,2019,1,20,2:28
201904170BOS,2019-04-17,7:00p,Indiana Pacers,IND,91,Boston Celtics,BOS,99,/boxscores/201904170BOS.html,TD Garden,18624.0,,2019,1,8,2:12
201904170MIL,2019-04-17,8:00p,Detroit Pistons,DET,99,Milwaukee Bucks,MIL,120,/boxscores/201904170MIL.html,Fiserv Forum,17513.0,,2019,1,21,2:18
201904170HOU,2019-04-17,9:30p,Utah Jazz,UTA,98,Houston Rockets,HOU,118,/boxscores/201904170HOU.html,Toyota Center,18055.0,,2019,1,20,2:15
