Player_ID,Player_Name_Full,Rk_Sal,Player_In_Salary_Table,Salary_Value,Tm_ID,Season_End_Year
mournal01,Alonzo Mourning,1,Alonzo Mourning,15004800.0,MIA,2000
mashbja01,Jamal Mashburn,2,Jamal Mashburn,5600000.0,MIA,2000
brownpj01,P.J. Brown,3,P.J. Brown,5124800.0,MIA,2000
hardati01,Tim Hardaway,4,Tim Hardaway,4800000.0,MIA,2000
majerda01,Dan Majerle,5,Dan Majerle,3600000.0,MIA,2000
lenarvo01,Voshon Lenard,6,Voshon Lenard,3308516.0,MIA,2000
stricma01,Mark Strickland,7,Mark Strickland,2302400.0,MIA,2000
thorpot01,Otis Thorpe,8,Otis Thorpe,2000000.0,MIA,2000
weathcl01,Clarence Weatherspoon,9,Clarence Weatherspoon,1925000.0,MIA,2000
askinke01,Keith Askins,10,Keith Askins,1752400.0,MIA,2000
causwdu01,Duane Causwell,11,Duane Causwell,1696387.0,MIA,2000
waltere01,Rex Walters,12,Rex Walters,1100000.0,MIA,2000
jamesti01,Tim James,13,Tim James,728520.0,MIA,2000
anderwi01,Willie Anderson,14,Willie Anderson,510000.0,MIA,2000
edwarbl01,Blue Edwards,15,Blue Edwards,510000.0,MIA,2000
pincked01,Ed Pinckney,16,Ed Pinckney,510000.0,MIA,2000
mccasam01,Amal McCaskill,17,Amal McCaskill,485000.0,MIA,2000
cartean01,Anthony Carter,18,Anthony Carter,385000.0,MIA,2000
buforro01,Rodney Buford,19,Rodney Buford,301875.0,MIA,2000
jamisha01,Harold Jamison,20,Harold Jamison,301875.0,MIA,2000
watsoja01,Jamie Watson,21,Jamie Watson,250000.0,MIA,2000
,Corey Brewer,22,Corey Brewer,100000.0,MIA,2000
davisma02,Mark Davis,23,Mark Davis,100000.0,MIA,2000
,Jermaine Walker,24,Jermaine Walker,100000.0,MIA,2000
ewingpa01,Patrick Ewing,1,Patrick Ewing,15000000.0,NYK,2000
johnsla02,Larry Johnson,2,Larry Johnson,11910714.0,NYK,2000
sprewla01,Latrell Sprewell,3,Latrell Sprewell,9000000.0,NYK,2000
houstal01,Allan Houston,4,Allan Houston,8000000.0,NYK,2000
dudlech02,Chris Dudley,5,Chris Dudley,7100000.0,NYK,2000
cambyma01,Marcus Camby,6,Marcus Camby,5250000.0,NYK,2000
wardch01,Charlie Ward,7,Charlie Ward,4540000.0,NYK,2000
childch01,Chris Childs,8,Chris Childs,4160000.0,NYK,2000
wallajo01,John Wallace,9,John Wallace,2000000.0,NYK,2000
thomaku01,Kurt Thomas,10,Kurt Thomas,1925000.0,NYK,2000
,Frederic Weis,11,Frederic Weis,947200.0,NYK,2000
turkcmi01,Mirsad Turkcan,12,Mirsad Turkcan,830745.0,NYK,2000
langan01,Andrew Lang,13,Andrew Lang,510000.0,NYK,2000
wingada01,David Wingate,14,David Wingate,510000.0,NYK,2000
brunsri01,Rick Brunson,15,Rick Brunson,485000.0,NYK,2000
johnsde02,DeMarco Johnson,16,DeMarco Johnson,111871.0,NYK,2000
oliveji01,Jimmy Oliver,17,Jimmy Oliver,7471.0,NYK,2000
iversal01,Allen Iverson,1,Allen Iverson,9000000.0,PHI,2000
ratlith01,Theo Ratliff,2,Theo Ratliff,7031250.0,PHI,2000
geigema01,Matt Geiger,3,Matt Geiger,6889520.0,PHI,2000
hillty01,Tyrone Hill,4,Tyrone Hill,6422400.0,PHI,2000
kukocto01,Toni Kukoc,5,Toni Kukoc,4500000.0,PHI,2000
snower01,Eric Snow,6,Eric Snow,3000000.0,PHI,2000
lynchge01,George Lynch,7,George Lynch,2000000.0,PHI,2000
mckieaa01,Aaron McKie,8,Aaron McKie,1624000.0,PHI,2000
mohamna01,Nazr Mohammed,9,Nazr Mohammed,690960.0,PHI,2000
jonesju01,Jumaine Jones,10,Jumaine Jones,684000.0,PHI,2000
mahorri01,Rick Mahorn,11,Rick Mahorn,510000.0,PHI,2000
honeyje01,Jerald Honeycutt,12,Jerald Honeycutt,460000.0,PHI,2000
ollieke01,Kevin Ollie,13,Kevin Ollie,422235.0,PHI,2000
maccuto01,Todd MacCulloch,14,Todd MacCulloch,301875.0,PHI,2000
rhodero01,Rodrick Rhodes,15,Rodrick Rhodes,122000.0,PHI,2000
roberst01,Stanley Roberts,16,Stanley Roberts,102824.0,PHI,2000
overtdo01,Doug Overton,17,Doug Overton,100000.0,PHI,2000
shawca01,Casey Shaw,18,Casey Shaw,25000.0,PHI,2000
goodrst01,Steve Goodrich,19,Steve Goodrich,4529.0,PHI,2000
armstda01,Darrell Armstrong,1,Darrell Armstrong,4125000.0,ORL,2000
gilliar01,Armen Gilliam,2,Armen Gilliam,3707200.0,ORL,2000
stronde01,Derek Strong,3,Derek Strong,3159000.0,ORL,2000
billuch01,Chauncey Billups,4,Chauncey Billups,3100080.0,ORL,2000
wilkige01,Gerald Wilkins,5,Gerald Wilkins,3000000.0,ORL,2000
mercero01,Ron Mercer,6,Ron Mercer,2298840.0,ORL,2000
outlabo01,Bo Outlaw,7,Bo Outlaw,2000000.0,ORL,2000
daviste01,Terry Davis,8,Terry Davis,1925000.0,ORL,2000
dareyi01,Yinka Dare,9,Yinka Dare,1893500.0,ORL,2000
smithmi02,Michael Smith,10,Michael Smith,1660000.0,ORL,2000
doleami01,Michael Doleac,11,Michael Doleac,1357320.0,ORL,2000
maggeco01,Corey Maggette,12,Corey Maggette,1259400.0,ORL,2000
grantha01,Harvey Grant,13,Harvey Grant,1200000.0,ORL,2000
taylojo01,Johnny Taylor,14,Johnny Taylor,1172400.0,ORL,2000
harprma01,Matt Harpring,15,Matt Harpring,1163760.0,ORL,2000
legleti01,Tim Legler,16,Tim Legler,1119000.0,ORL,2000
johnsan02,Anthony Johnson,17,Anthony Johnson,1100000.0,ORL,2000
parkean01,Anthony Parker,18,Anthony Parker,980280.0,ORL,2000
garripa01,Pat Garrity,19,Pat Garrity,952800.0,ORL,2000
wallabe01,Ben Wallace,20,Ben Wallace,893750.0,ORL,2000
rhodero01,Rodrick Rhodes,21,Rodrick Rhodes,600000.0,ORL,2000
willimo01,Monty Williams,22,Monty Williams,510000.0,ORL,2000
mcinnje01,Jeff McInnis,23,Jeff McInnis,460000.0,ORL,2000
amaecjo01,John Amaechi,24,John Amaechi,385000.0,ORL,2000
atkinch01,Chucky Atkins,25,Chucky Atkins,385000.0,ORL,2000
ndiayma01,Makhtar N'Diaye,26,Makhtar N'Diaye,385000.0,ORL,2000
simonmi01,Miles Simon,27,Miles Simon,385000.0,ORL,2000
wilkido01,Dominique Wilkins,28,Dominique Wilkins,250000.0,ORL,2000
